7 Minutes Sunday📚|📚https://feeds.redcircle.com/52dc91e8-353b-453b-aac8-4daaecda0882
I Was Just Wondering📚|📚https://feed.podbean.com/iwasjustwondering/feed.xml
indahh's podcast📚|📚https://anchor.fm/s/1b3e8490/podcast/rss
Indonesian, Shellabear  Alkitab - Indonesian, Shellabear Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/INZSHLN2DA.xml
INFINITE PODCAST📚|📚https://anchor.fm/s/cf8dd04/podcast/rss
INI BETA📚|📚https://anchor.fm/s/22aedc48/podcast/rss
Insight Tour📚|📚https://anchor.fm/s/1458000c/podcast/rss
Itsteddhy📚|📚https://anchor.fm/s/1b94e63c/podcast/rss
Jbn📚|📚https://anchor.fm/s/32f9a8e4/podcast/rss
Jonathan Rovel📚|📚https://anchor.fm/s/3251c4d0/podcast/rss
JS_Bless📚|📚https://anchor.fm/s/33b17b18/podcast/rss
K.A.T.A.K.U: KAMU, TUHAN, DAN AKU📚|📚https://anchor.fm/s/21742bbc/podcast/rss
Ka'Jum - Katakese Jumat📚|📚https://anchor.fm/s/22216ffc/podcast/rss
Kaili Ledo Alkitab (didramatisasi) - Kaili Ledo Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/LEWLAIN2DA.xml
Kaili Ledo Alkitab (Non-didramatisasi) - Kaili Ledo Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/LEWLAIN1DA.xml
Kape GKY BSD📚|📚https://kapegkybsd.podomatic.com/rss2.xml
KATAB (Kata AlkiTAB)📚|📚https://anchor.fm/s/346bcfe0/podcast/rss
Kekuatan Baru📚|📚https://anchor.fm/s/2116ab04/podcast/rss
Keseharian Bersama Allah📚|📚https://anchor.fm/s/258961f4/podcast/rss
Keys📚|📚https://anchor.fm/s/1eb4e63c/podcast/rss
KidPod📚|📚https://anchor.fm/s/2a426434/podcast/rss
Kisah Inspiratif📚|📚https://anchor.fm/s/2ddff8a4/podcast/rss
KOK (Katanya Orang Kristen?)📚|📚https://anchor.fm/s/1cdaf61c/podcast/rss
Komisi Pemuda GKI Serang📚|📚https://anchor.fm/s/1c05ff5c/podcast/rss
Kopaja GKJ WU📚|📚https://anchor.fm/s/24005ea0/podcast/rss
Kotbah BAIC Audio Podcast - Kumpulan Khotbah-Kotbah📚|📚https://baic.org.au/podcasts/clcsermons.xml
Krc68📚|📚https://anchor.fm/s/1be33ee0/podcast/rss
Ladies Of Faith📚|📚https://anchor.fm/s/31d0c81c/podcast/rss
Lampung Alkitab - Lampung Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/LJPLAIN2DA.xml
Lani Alkitab (didramatisasi) - Dani Western (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/DNWLAIN2DA.xml
Lani Alkitab (Non didramatisasi) - Dani Western (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/DNWLAIN1DA.xml
LEONARDO SIRAIT (Podcast)📚|📚https://rss.castbox.fm/everest/4cd5e7ee082349ff91e924a2ba9d333a.xml
Lie Nah's Notes📚|📚https://anchor.fm/s/318f00a8/podcast/rss
LINDA Podcast📚|📚https://anchor.fm/s/2b0c783c/podcast/rss
Luang Alkitab (didramatisasi) - Luang Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/LEXWBTN2DA.xml
Luang Alkitab (Non-didramatisasi) - Luang Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/LEXWBTN1DA.xml
Makaroni📚|📚https://anchor.fm/s/2ce3fb44/podcast/rss
Makassar Alkitab - Makassar Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/MAKLAIN2DA.xml
Mamasa Alkitab  (didramatisasi) - Mamasa Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/MQJLAIN2DA.xml
Mamasa Alkitab (non-didramatisasi) - Mamasa Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/MQJLAIN1DA.xml
Masku📚|📚https://anchor.fm/s/20740390/podcast/rss
Me and my Bible📚|📚https://anchor.fm/s/26287050/podcast/rss
Media Ariwibowo📚|📚https://rss.castbox.fm/everest/eb69b9c04ea9434bac751a0b9c745fbb.xml
Menjadi Murid Sejati📚|📚https://anchor.fm/s/2f133b3c/podcast/rss
Menjangkau, Menangkan dan Membangun📚|📚https://blog.depmisgsja.com/feed/podcast
Mental Pemenang📚|📚https://anchor.fm/s/276e8800/podcast/rss
Mentawai Alkitab - Mentawai Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/MWVLAIN2DA.xml
Meyah Bible (didramatisasi) - Meyah Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/MEJTBLN2DA.xml
Mike manullang📚|📚https://anchor.fm/s/2600389c/podcast/rss
Minangkabau Alkitab - Minangkabau Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/MINLAIN2DA.xml
Minggu Berkah📚|📚https://rss.castbox.fm/everest/1112c10829164733aeccfe99956ea58b.xml
MLB Youth📚|📚https://anchor.fm/s/238d9514/podcast/rss
Mongondow Alkitab - Mongondow Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/MOGLAIN2DA.xml
Moskow Alkitab (Non-didramatisasi) - Moskona Bible (Non Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/MTJTBLN1DA.xml
Moskow Bible (didramatisasi) -Moskona Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/MTJTBLN2DA.xml
Multimedia GKI Madiun📚|📚https://anchor.fm/s/2f1aa1c4/podcast/rss
Muna Alkitab  - Muna Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/MNBTBLN2DA.xml
NAC📚|📚https://anchor.fm/s/2ec705dc/podcast/rss
Nalca Alkitab (didramatisasi) - Nalca Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/NLCLAIN2DA.xml
Nalca Alkitab (Non-didramatisasi) - Nalca Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/NLCLAIN1DA.xml
NAMAPOSO GKPS HARAPAN INDAH📚|📚https://anchor.fm/s/194b2260/podcast/rss
Napu Alkitab -  Napu Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/NPYLAIN2DA.xml
Ndoet📚|📚https://anchor.fm/s/cc16d38/podcast/rss
Ngaju Alkitab - Ngaju Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/NIJLAIN2DA.xml
Non-didramatisasi - Meyah Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/MEJTBLN1DA.xml
Noypunyacerita📚|📚https://anchor.fm/s/137168cc/podcast/rss
Obat Kuat📚|📚https://anchor.fm/s/a68afc4/podcast/rss
ObrolanPenuhArti📚|📚https://anchor.fm/s/20d28870/podcast/rss
OHI Podcast📚|📚https://anchor.fm/s/37af3d04/podcast/rss
OMK St Theodorus Bandung📚|📚https://anchor.fm/s/1457574c/podcast/rss
OPIMI (Ngobrol ala Papi Mami)📚|📚https://anchor.fm/s/17d2e080/podcast/rss
palma dinata📚|📚https://anchor.fm/s/2c1ee368/podcast/rss
Pastor Hari Podcast📚|📚https://anchor.fm/s/15b59630/podcast/rss
Paulus Wiratno📚|📚https://anchor.fm/s/30eeabbc/podcast/rss
PD Yosua bin Nun Podcast📚|📚https://andrianus-s.podomatic.com/rss2.xml
Pdt. Jansen Joku STh📚|📚https://anchor.fm/s/2282c658/podcast/rss
PEPES(PerPa PodkES)📚|📚https://anchor.fm/s/23ada868/podcast/rss
PETER-PAUL MAJOR📚|📚https://anchor.fm/s/357084e4/podcast/rss
PMK FKKMK UGM📚|📚https://anchor.fm/s/20af2ce0/podcast/rss
PMKP FISIP UNDIP📚|📚https://anchor.fm/s/241c24c8/podcast/rss
Podcast Bagi Cerita📚|📚https://anchor.fm/s/13caa680/podcast/rss
Podcast doa📚|📚https://anchor.fm/s/22614370/podcast/rss
Podcast GII HIT Kuta📚|📚https://anchor.fm/s/31491890/podcast/rss
Podcast GKI GMM📚|📚https://anchor.fm/s/1939d3e8/podcast/rss
Podcast GKJ Bambu Kuning Bekasi Utara📚|📚https://anchor.fm/s/22b7f918/podcast/rss
Podcast Hari Minggu📚|📚https://anchor.fm/s/1e451ab4/podcast/rss
Podcast Rohani memberkati📚|📚https://anchor.fm/s/187a5dd8/podcast/rss
Podcast TerKasih📚|📚https://anchor.fm/s/1b90c91c/podcast/rss
Podcast_YouthPIBI📚|📚https://anchor.fm/s/206ace88/podcast/rss
POSITIF - Podcast Asik dan Inspiratif📚|📚https://rss.castbox.fm/everest/e5a582b4235d4caeaa64f220a94db5ca.xml
POYO ( Podcast Youth GKBJ Samanhudi )📚|📚https://anchor.fm/s/e8dfa64/podcast/rss
PRAISETALK📚|📚https://rss.castbox.fm/everest/6abf9791dbd74559b9f4445325b2da19.xml
PREMIER PODCAST📚|📚https://anchor.fm/s/367e2580/podcast/rss
Radio Advent Suara Pengharapan [AWR Indonesia] - http://www.facebook.com/groups/awrindonesia📚|📚https://feeds.feedburner.com/AWRIndonesia
RAPOD📚|📚https://anchor.fm/s/1e269828/podcast/rss
Re-read the bible📚|📚https://anchor.fm/s/e826398/podcast/rss
REFILL PROGRAM📚|📚https://anchor.fm/s/2671084c/podcast/rss
Rehobot Ministry📚|📚https://anchor.fm/s/2320b020/podcast/rss
Rejang Lebong Alkitab (didramatisasi) Rejang Lebong Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/REJLAIN2DA.xml
Rejang Lebong Alkitab (Non-didramatisasi) Rejang Lebong Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/REJLAIN1DA.xml
Renungan BKSN hari ke-4📚|📚https://anchor.fm/s/34982324/podcast/rss
Renungan harian anak bersama MUMU dan MIMI dalam bahasa inggris📚|📚https://anchor.fm/s/2d937844/podcast/rss
Renungan Harian Anak📚|📚https://anchor.fm/s/234e1d08/podcast/rss
Renungan Harian GMAHK 2025📚|📚https://feeds.buzzsprout.com/1235564.rss
Renungan Harian📚|📚https://anchor.fm/s/275b7dc8/podcast/rss
renungan malam📚|📚https://anchor.fm/s/1c7e66cc/podcast/rss
Renungan Pagi SD Kristen Almasih📚|📚https://anchor.fm/s/2b7f1b1c/podcast/rss
Renungan UKMK AM Senin 20 Juli 2020📚|📚https://anchor.fm/s/25179dbc/podcast/rss
Renungan UKMK AM UPNVY📚|📚https://anchor.fm/s/2e0ed7dc/podcast/rss
Renungan UKMK📚|📚https://anchor.fm/s/2b43f6e0/podcast/rss
renungindeh📚|📚https://anchor.fm/s/1e0332d4/podcast/rss
Revival of Fire📚|📚https://anchor.fm/s/37f8901c/podcast/rss
Riko Tan Briefings📚|📚https://anchor.fm/s/2e184d58/podcast/rss
ROCK Samarinda📚|📚https://anchor.fm/s/24157768/podcast/rss
Romo Martin📚|📚https://anchor.fm/s/1b1b7e8c/podcast/rss
Rote Alkitab - Rote Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/TWULAIN2DA.xml
Ruang Renung📚|📚https://anchor.fm/s/1b546e54/podcast/rss
Sahabat Seiman📚|📚https://anchor.fm/s/2e3ca1bc/podcast/rss
Sahu Alkitab (non-didramatisasi) - Sahu Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/SAJLAIN1DA.xml
Sangir Alkitab - Sangir Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/SXNLAIN2DA.xml
SANSKUY!📚|📚https://anchor.fm/s/2b7d02c8/podcast/rss
Santapan Harian📚|📚https://rss.castbox.fm/everest/14c3ef118fd04efb9c679c39a4fb1a58.xml
Sasak Alkitab - Sasak Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/SASLAIN2DA.xml
Sejenak Bersama SU Indonesia📚|📚https://rss.castbox.fm/everest/c067af40764843249d7dbc525e1ef65d.xml
SENAT MAHASISWA STT IKAT📚|📚https://anchor.fm/s/27017eb8/podcast/rss
Serawai Alkitab (didramatisasi) - Serawai Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/PSELAIN2DA.xml
Serawai Alkitab (non-didramatisasi) - Serawai Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/PSELAIN1DA.xml
SHIELD Podcast📚|📚https://anchor.fm/s/33fbd190/podcast/rss
Social Soul podcast (SSP)📚|📚https://anchor.fm/s/2963e858/podcast/rss
Soul Camp📚|📚https://anchor.fm/s/206ac6b8/podcast/rss
SoulBites📚|📚http://feeds.feedburner.com/podomatic/JdTN
South Bridge podcast📚|📚https://rss.castbox.fm/everest/fb5e1ffe8ae34145810ec6d142c1fdb6.xml
Stiev📚|📚https://rss.castbox.fm/everest/edf8c326430f432f9d567e38e3f1e0e2.xml
Suara Kebenaran – Truth Voice📚|📚https://feeds.feedburner.com/SuaraKebenaranTruthVoice
Suara Pengharapan📚|📚https://podcasts.awr.org/xml/xmliTunes/DAYBL_AWR.xml
SUARA SAKSI📚|📚https://anchor.fm/s/2c4e6520/podcast/rss
Sunda Alkitab - Nganggo Basa Sunda Sadidinten (didramatisasi) - Sundanese Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/SUNTSVN2DA.xml
Sunda Alkitab - Nganggo Basa Sunda Sadidinten (Non-didramatisasi) - Sudanese Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/SUNTSVN1DA.xml
Surat Cinta dari Tuhan📚|📚https://anchor.fm/s/27f2b774/podcast/rss
Tabaru Alkitab - Tabaru Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/TBYLAIN2DA.xml
Teman Sharing 💕📚|📚https://anchor.fm/s/1368875c/podcast/rss
The Foolish Podcast📚|📚https://anchor.fm/s/38abe004/podcast/rss
The Simple Gospel Podcast📚|📚https://anchor.fm/s/262375b4/podcast/rss
The Word For Today📚|📚https://media.fajarpengharapan.com/Feed/video4itunes.xml
THE WORD OF GOD📚|📚https://anchor.fm/s/2dea310c/podcast/rss
TheLokraStudio📚|📚https://anchor.fm/s/29b45374/podcast/rss
Thinker Well’s Podcast📚|📚https://anchor.fm/s/22936760/podcast/rss
Time of Refreshment📚|📚https://anchor.fm/s/20da5230/podcast/rss
titimurniatpodcast📚|📚https://anchor.fm/s/210991e4/podcast/rss
Tobelo Alkitab (didramatisasi) - Tobelo Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/TLBLAIN2DA.xml
Tobelo Alkitab (Non-didramatisasi) - Tobelo Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/TLBLAIN1DA.xml
Toraja Alkitab (didramatisasi) - Toraja Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/SDALAIN2DA.xml
Toraja Alkitab (Non-didramatisasi) - Toraja Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/SDALAIN1DA.xml
Triple Trouble Talk📚|📚https://anchor.fm/s/1e6381e8/podcast/rss
Truth Daily Enlightenment📚|📚https://truth.id/voice/category/daily-enlightenment/feed/
Uma Alkitab (didramatisasi) - Uma Bible (Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/PPKLAIN2DA.xml
Uma Alkitab (no didramatisasi) - Uma Bible (Non-Dramatized)📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/PPKLAIN1DA.xml
Voice of Truth📚|📚https://truth.id/voice/category/voice-of-truth/feed/
Weekly Praise and Worship📚|📚https://anchor.fm/s/1996f488/podcast/rss
Welcoming Cool Gandaria📚|📚https://anchor.fm/s/253a43a8/podcast/rss
Willem📚|📚https://anchor.fm/s/2ff83aac/podcast/rss
William Makelab📚|📚https://anchor.fm/s/14155608/podcast/rss
Yali, Angguruk Alkitab - Yali, Angguruk Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/YLILAIN2DA.xml
Yawa Unat Alkitab - Yawa Bible📚|📚http://podcast.faithcomesbyhearing.com/feeds/audio-bibles/YVATBLN2DA.xml
YHS TAIPEI's Podcast📚|📚https://yhstaipei20.podomatic.com/rss2.xml
Yoshua Christian📚|📚https://rss.castbox.fm/everest/428e5b962be64599bb9d3a31479be9ce.xml
You Know?📚|📚https://anchor.fm/s/30ed8d04/podcast/rss
Youth Messenger📚|📚https://anchor.fm/s/29314448/podcast/rss
YPKB Depok Podcast📚|📚https://rss.castbox.fm/everest/869d0e98233d4e71a3a113585d053f02.xml
