3 Petits Chats📚|📚https://feed.pippa.io/public/shows/5d1e2cb76af1fb286d9699cc
Pep Talk with Fatine📚|📚https://anchor.fm/s/e4677c0/podcast/rss
PEP77📚|📚https://rss.castbox.fm/everest/67a8beb82a274c59b81bd573eff2a2ad.xml
Pépites d'Histoire📚|📚https://feeds.acast.com/public/shows/b23d0069-4ee8-54aa-b64c-02bbad04cad9
Peps📚|📚https://anchor.fm/s/128da6f0/podcast/rss
PERCHÉE📚|📚https://www.graineslunaires.com/podcast?format=rss
Perles De Sagesse - Corinne Online📚|📚https://anchor.fm/s/e6f53e8/podcast/rss
Perma Nature : (Être dans sa nature profonde)📚|📚https://anchor.fm/s/ffc3d48/podcast/rss
Perspective(s)📚|📚https://anchor.fm/s/92d35a8/podcast/rss
Perspective(s)📚|📚https://feeds.buzzsprout.com/1560350.rss
Pester essaye parler français📚|📚https://anchor.fm/s/31c29490/podcast/rss
Petit Souffle📚|📚https://rss.castbox.fm/everest/fccaeac3c0a64651bd0c41f8a855124f.xml
Petite Parole📚|📚https://anchor.fm/s/108ff1c8/podcast/rss
Petite Pousse - Bien-être, Business & Mindset📚|📚https://feed.ausha.co/ypW44F8d1jje
Peut mieux faire📚|📚http://girlwithalessonplan.com/feed/podcast/
Phantasia - La compétence émotionnelle en 5 minutes📚|📚https://feed.ausha.co/bjqK3cgqzMRx
PHI3900 Le podcast📚|📚https://feed.podbean.com/PHI3900/feed.xml
Philanthropie et Presse📚|📚https://www.spreaker.com/show/3484975/episodes/feed
Philippe Visset Conseils Parents Ados Difficile📚|📚https://anchor.fm/s/9491a48/podcast/rss
Philo avec Shana📚|📚https://anchor.fm/s/9e871b0/podcast/rss
PhilOBJ📚|📚https://anchor.fm/s/2cf6f898/podcast/rss
Philologie de la civilisation japonaise - Jean-Noël Robert📚|📚https://podcast.college-de-france.fr/xml2/cdf8-53.xml
Philomonaco📚|📚https://feed.pippa.io/public/shows/5bc9c264228fbe6249485d5b
Philoptère📚|📚https://anchor.fm/s/2660509c/podcast/rss
Philosophie de Vie📚|📚https://anchor.fm/s/1fe5c134/podcast/rss
Philosophie Mr Doroteo📚|📚https://anchor.fm/s/1698def4/podcast/rss
Philosophie pour tous📚|📚https://feeds.audiomeans.fr/feed/aced395e-6351-498a-9397-144bb12e80d6.xml
Philosophie📚|📚https://savoirs.ens.fr/podcast.php?id=25
Philosophy is Sexy📚|📚https://feeds.acast.com/public/shows/6823013168999864d68e2b96
Philosovie - Stratégies pour une vie qui fait envie📚|📚http://www.zeolitop.com/cloudmetop/category/philosovie-strategies/feed/
PHŒNIX📚|📚https://rss.acast.com/phoenix
Physiologie de la perception et de l'action - Alain Berthoz📚|📚https://podcast.college-de-france.fr/xml2/cdf2-4.xml
Physique / Mental / Relations épanouies📚|📚https://anchor.fm/s/1206f614/podcast/rss
Pierre Qui Roule📚|📚https://anchor.fm/s/438611fc/podcast/rss
Pilot📚|📚https://anchor.fm/s/2bd4c148/podcast/rss
Place ta confiance en Allah !📚|📚https://islamhouse.com/pc/889181/
Plan Sonore - plaisir et pouvoir du son📚|📚https://feeds.soundcloud.com/users/soundcloud:users:290917864/sounds.rss
Planète Corée📚|📚https://planete-coree.lepodcast.fr/rss
Play Heure📚|📚https://baladoquebec.ca/playheure/rss
PLDH📚|📚https://feeds.soundcloud.com/users/soundcloud:users:460377450/sounds.rss
PLEASE (2012) Paris/Lycées : Exploration Annuelle en Sciences Economiques📚|📚http://epi.univ-paris1.fr/adminsite/webservices/export_rss.jsp?&version=ITUNES&FORMAT=mp4&CODE_RUBRIQUE=pod-006&NOMBRE=50&PJ=OUI
PLEASE (2013) Paris/Lycées : Exploration Annuelle en Sciences Economiques📚|📚http://epi.univ-paris1.fr/adminsite/webservices/export_rss.jsp?&version=ITUNES&FORMAT=mp4&CODE_RUBRIQUE=pod-016&NOMBRE=50&PJ=OUI
PLEASE (2014) Paris/Lycées : Exploration Annuelle en Sciences Economiques📚|📚http://epi.univ-paris1.fr/adminsite/webservices/export_rss.jsp?&version=ITUNES&FORMAT=mp4&CODE_RUBRIQUE=pod-021&NOMBRE=50&PJ=OUI
Plein Potentiel📚|📚https://anchor.fm/s/383a9930/podcast/rss
POD - Recherche📚|📚https://videos.univ-grenoble-alpes.fr/rss-audio/recherche/science-infuse/
Pod'Up !📚|📚https://anchor.fm/s/266beed4/podcast/rss
Pod📚|📚https://pod.uphf.fr/rss-audio/?type=autres
Podavewo📚|📚https://anchor.fm/s/3181c5f0/podcast/rss
Podcast – Bonjour nouvelle vie :  Développement personnel📚|📚http://feeds.feedburner.com/PodcastBonjourNouvelleVie
Podcast – J'Ose Entreprendre📚|📚http://feeds.feedburner.com/JOseEntreprendrePodcast
Podcast – La Cavalière Libérée📚|📚https://lacavaliereliberee.ca/category/podcast/feed/
Podcast – Mamadou et Bineta📚|📚http://feeds.feedburner.com/PodcastMamadouEtBineta
Podcast 1 SVT📚|📚https://anchor.fm/s/169a3524/podcast/rss
Podcast 1📚|📚https://anchor.fm/s/16cc2fac/podcast/rss
Podcast Altitude📚|📚https://podcastaltitude.libsyn.com/rss
Podcast Audio Schule📚|📚https://anchor.fm/s/24b0e3b0/podcast/rss
Podcast avec Coach Kev📚|📚https://anchor.fm/s/3a5bc54/podcast/rss
Podcast avec un étudiant📚|📚https://www.spreaker.com/show/4656887/episodes/feed
Podcast Beginner French📚|📚https://feed.podbean.com/studyfrench/feed.xml
Podcast changer le fond📚|📚http://espace.mika.free.fr/podcast.xml
Podcast d'Exister en Liberté📚|📚https://exister-en-liberte-1.podomatic.com/rss2.xml
Podcast Darija📚|📚https://feeds.soundcloud.com/users/soundcloud:users:209040845/sounds.rss
Podcast de francés📚|📚https://anchor.fm/s/159568b0/podcast/rss
Podcast de Katie📚|📚https://anchor.fm/s/220141b4/podcast/rss
Podcast de l'alternance et des stages📚|📚https://feed.ausha.co/oakMaIzjKpDW
Podcast de la Rédaq📚|📚https://mprud15.podomatic.com/rss2.xml
Podcast de Pierre-Luc Poulin📚|📚https://anchor.fm/s/3236fb0/podcast/rss
Podcast des EntrepreneurEs Resilientes / Marie Bodiguian📚|📚https://anchor.fm/s/33031e60/podcast/rss
Podcast des Femmes📚|📚https://anchor.fm/s/3467d200/podcast/rss
Podcast Drive Academy📚|📚https://feeds.feedburner.com/PodcastDriveAcademy
Podcast Drive Academy📚|📚https://feeds.soundcloud.com/users/soundcloud:users:41022377/sounds.rss
Podcast du Quebec📚|📚https://anchor.fm/s/1994ce24/podcast/rss
Podcast du spectacle Vivant📚|📚https://feeds.soundcloud.com/users/soundcloud:users:326594750/sounds.rss
Podcast Editions des petits pas📚|📚https://anchor.fm/s/efd00e68/podcast/rss
Podcast en français pour réussir!📚|📚https://anchor.fm/s/5f3d6328/podcast/rss
Podcast Francais Authentique📚|📚https://francaisauthentique.libsyn.com/rss
Podcast Jeunesse en Champagne📚|📚https://pjc.fontaine-du-ve.com/component/podcastmanager/?format=raw&feedname=12
Podcast langues - Les dÃ©clencheurs en anglais📚|📚http://podcast-langues.ac-rouen.fr/podcast.php?categorie=d&lng=anglais
Podcast langues - Locuteurs natifs en anglais📚|📚http://podcast-langues.ac-rouen.fr/podcast.php?categorie=nat&lng=anglais
Podcast Maîtrise📚|📚https://feeds.soundcloud.com/users/soundcloud:users:596380530/sounds.rss
Podcast meditaneo📚|📚https://feeds.soundcloud.com/users/soundcloud:users:516261519/sounds.rss
Podcast MIND'UP📚|📚https://feeds.soundcloud.com/users/soundcloud:users:839693503/sounds.rss
PODCAST MOTIVATION PLUS📚|📚https://anchor.fm/s/3165be8c/podcast/rss
Podcast parabolique de Garrett, Callum et Marley📚|📚https://anchor.fm/s/e8334f8/podcast/rss
Podcast pour apprendre l’anglais gratuit📚|📚https://apprendrelanglaisrapidement.fr/feed/podcast/
Podcast Professeure Maria Isabel Alves📚|📚https://anchor.fm/s/cac0d58/podcast/rss
Podcast Radio Lorraine TGV📚|📚https://anchor.fm/s/138a62f0/podcast/rss
Podcast Résonance📚|📚https://feed.ausha.co/yAO42FxW97Jp
Podcast Sans Limite📚|📚https://anchor.fm/s/2fa79c0/podcast/rss
Podcast Science📚|📚https://feeds.acast.com/public/shows/podcastscience
Podcast special Autonomie de l'enfant📚|📚https://www.spreaker.com/show/4307909/episodes/feed
Podcast TICE📚|📚https://anchor.fm/s/cc2ab94/podcast/rss
Podcast Veilleux📚|📚https://anchor.fm/s/25e01288/podcast/rss
PODCAST 学校行かずにフランス語！📚|📚https://podcast.kikounette.biz/podcast.xml
Podcasteur Pro📚|📚https://api.substack.com/feed/podcast/1162248.rss
Podcasts | Sous le Bandeau📚|📚https://souslebandeau.ca/category/podcasts/feed/
Podcasts Archives - Methodo Recherche📚|📚https://methodorecherche.com/category/podcasts/feed/
Podcasts de développement personnel📚|📚http://zeolitop.com/cloudmetop/category/les-interviews-de-paul-pyronnet/feed/
Podcasts de développement personnel📚|📚http://zeolitop.com/cloudmetop/category/nature-et-business/feed/
Podcasts de développement personnel📚|📚http://zeolitop.com/cloudmetop/category/revelez-votre-veritable-nature/feed/
Podcasts J'aime le français📚|📚https://vocabulairedefrance.wordpress.com/category/podcast/feed/
Podcasts OSERChanger📚|📚https://OSERChanger.podbean.com/feed.xml
Podcasts: flux RSS de l'émission pour appli de podcasts (recommandation: Podcast Addict)📚|📚https://feeds.soundcloud.com/users/soundcloud:users:16879769/sounds.rss
podcastteens📚|📚https://anchor.fm/s/44e156c4/podcast/rss
Podcrastination📚|📚https://feed.ausha.co/BMz82cEDRq4e
Podioguide UdeM / Campus de Montréal📚|📚http://www.podioguide.umontreal.ca/balado/campus-montreal.rss
Podklass📚|📚https://feed.ausha.co/ypgpxiP0j7A4
Poésie de Laura et Lina📚|📚https://anchor.fm/s/6d6b090/podcast/rss
Poésies de novembre📚|📚https://anchor.fm/s/7e05608/podcast/rss
Poésies📚|📚https://anchor.fm/s/93fc600/podcast/rss
Point de vue social XXL📚|📚https://pointdevuesocial.fr/feed/podcast/pdvs-xxl
Points critiques📚|📚https://www.spreaker.com/show/3172309/episodes/feed
POLCA📚|📚https://feed.ausha.co/9oKDtRqq577y
Politiques de lutte contre la pauvreté📚|📚http://podcast.unil.ch/podcast/ssp/14_pauvrete.xml
PompidouVIP📚|📚https://feeds.acast.com/public/shows/5de6871dab5c3f6204bb9478
Poor Wayfaring Stranger📚|📚https://anchor.fm/s/2ce89a14/podcast/rss
PopPsy📚|📚https://feed.ausha.co/BQNvjILZmJzL
Portail vidéo de l'Université de Rouen Normandie📚|📚https://webtv.univ-rouen.fr/channels/c1251599d2349gvb0hbe/itunes-audio.xml
Portrait pour trait  | Maryline Albert📚|📚https://www.spreaker.com/show/3315172/episodes/feed
Portraits📚|📚https://anchor.fm/s/37115274/podcast/rss
Positive et Ambitieuse📚|📚https://anchor.fm/s/14588d10/podcast/rss
potins de Rimouski📚|📚https://feeds.feedburner.com/PotinsDeRimouski
Pouce de bambins📚|📚https://poucedebambins.lepodcast.fr/rss
Pour apprendre le français📚|📚https://feeds.soundcloud.com/users/soundcloud:users:341075363/sounds.rss
Pour les Pères📚|📚https://anchor.fm/s/3553d77c/podcast/rss
Pourquoi & Comment vivre pleinement📚|📚https://anchor.fm/s/1befcdb8/podcast/rss
Pourquoi donc ?📚|📚https://feeds.acast.com/public/shows/66068fe18268a800165ea2af
Pourquoi le mawlid ne doit pas être fêté ?📚|📚https://islamhouse.com/pc/2828708
Pourquoi pas moi - Le développement personnel sans filtre📚|📚https://feed.ausha.co/b7XwQFeJV3Gx
Poursuite Du Bohneur📚|📚https://anchor.fm/s/903222c/podcast/rss
Pouvoir et Influence📚|📚https://www.pouvoir-influence.fr/feed/podcast/
Pouvoirs cachés📚|📚https://feed.ausha.co/bVr3XT6O320V
Préhistoire. Une énigme moderne📚|📚https://feeds.acast.com/public/shows/5cd00c60dba0417c17560080
Premier degré📚|📚http://www.cndp.fr/itunesu/TENUE_CLASSE/tenue_integral_1.xml
Premiers pas d'une avocate📚|📚https://anchor.fm/s/15c0109c/podcast/rss
PRENDRE LE TEMPS📚|📚https://anchor.fm/s/14abb4f4/podcast/rss
Prendre soin de soi📚|📚https://anchor.fm/s/17a8f478/podcast/rss
Prenez garde aux dettes !📚|📚https://islamhouse.com/pc/388551
Présence et Conscience : au coeur du corps et de l'esprit📚|📚https://anchor.fm/s/18ce93a8/podcast/rss
Présentation des stages📚|📚https://anchor.fm/s/1bbbbadc/podcast/rss
Présentation Sereinevie succès📚|📚https://anchor.fm/s/14257880/podcast/rss
Présentations des étudiants du Master 2 Recherche Droit Social📚|📚http://epi.univ-paris1.fr/adminsite/webservices/export_rss.jsp?&version=ITUNES&FORMAT=mp4&CODE_RUBRIQUE=pod-015&NOMBRE=50&PJ=OUI
Presque Adulte, le podcast📚|📚https://rss.castbox.fm/everest/8e69e5e013fb4bde81a1fff7c5588156.xml
Press Play📚|📚https://feed.ausha.co/b3nJriQZNA4d
PRINCIPES DE VIE📚|📚https://anchor.fm/s/7e66728/podcast/rss
Principes Fondamentaux📚|📚https://feed.ausha.co/bPO0gT2qXxOn
Principia Informatica📚|📚https://feeds.soundcloud.com/users/soundcloud:users:262836424/sounds.rss
PRISCANAD SHOW📚|📚https://anchor.fm/s/1482ccb0/podcast/rss
ProCréativité📚|📚https://anchor.fm/s/bfe5d48/podcast/rss
Product Design - Audio & Document collection📚|📚https://itunesu.grenoble-em.com/pdadc/feed.itunesu
Product Design - Video collection📚|📚https://itunesu.grenoble-em.com/pdvc/feed.itunesu
Productif au quotidien📚|📚https://feeds.buzzsprout.com/936718.rss
Productiv' You !📚|📚https://www.spreaker.com/show/1415830/episodes/feed
Prof Alternatif📚|📚https://prof-alternatif.com/feed/podcast/
Prof Etc📚|📚https://anchor.fm/s/28700b0c/podcast/rss
ProfBrigitte📚|📚https://anchor.fm/s/e170224/podcast/rss
profession artisan photographe📚|📚https://rss.castbox.fm/everest/b32131b374e34de0ab1a09fa42182229.xml
Profession Conseil en Image, le podcast par Nansha📚|📚https://anchor.fm/s/95f3b5e8/podcast/rss
ProfPower📚|📚https://feed.ausha.co/B4VpgSJl4zrL
Programme ta pensée📚|📚https://feeds.buzzsprout.com/953059.rss
Programmes Audio Crpe📚|📚https://anchor.fm/s/2318b974/podcast/rss
Projet Autodafeurs📚|📚https://anchor.fm/s/4d25bb4/podcast/rss
PROJET D'ENTREPRENDRE📚|📚https://feeds.podcastics.com/podcastics/podcasts/rss/588_c1cc8fbfc18dd078c730e6c5e9c19684.rss
projet francais 2020📚|📚https://anchor.fm/s/21621b84/podcast/rss
Promenades imaginaires au musée d'Orsay📚|📚https://feed.pippa.io/public/shows/5d03a2df2ef500851c57fe4d
Psy Et Geek📚|📚https://anchor.fm/s/a898e38/podcast/rss
PSY4020 - Méthodologie de la recherche en psychologie avec Professeur Stéphane Dandeneau📚|📚https://feeds.sounder.fm/7188/rss.xml
PsychoDéclic📚|📚https://feed.podbean.com/psychodeclic/feed.xml
Psychologie clinique📚|📚http://feeds.univ-lyon2.fr/2010_2011-PsychologieClinique-Roussillon
Psychologie du développement📚|📚https://www.spreaker.com/show/4741529/episodes/feed
Psychologie Positive Et Hypersensibilité📚|📚https://anchor.fm/s/13c6fb0c/podcast/rss
Psychologie Vulgaire📚|📚https://feeds.soundcloud.com/users/soundcloud:users:873895561/sounds.rss
Puissance Interne – Une Reconnexion Divine📚|📚https://anchor.fm/s/74493d0/podcast/rss
Punchy Words📚|📚https://feeds.soundcloud.com/users/soundcloud:users:129231213/sounds.rss
PUR.E📚|📚https://www.spreaker.com/show/4671928/episodes/feed
